Date,Close/Last,Volume,Open,High,Low
923,$142.92,74064250,$141.355,$144.12,$141.08
922,$141.56,73429640,$137.77,$141.61,$136.93
918,$138.93,71051550,$136.04,$139.04,$135.66
917,$136.72,98964470,$137.25,$138.37,$133.7737
916,$139.23,66242410,$137.46,$140.67,$136.67
915,$137.44,67315330,$142.13,$143.422,$137.325
914,$141.66,70207910,$142.695,$143.49,$140.965
911,$141.66,89116840,$139.90,$141.91,$139.77
910,$138.27,72433770,$136.82,$138.59,$135.63
909,$135.35,73409230,$134.79,$137.76,$133.91
908,$135.87,81000490,$133.42,$137.06,$133.32
904,$131.56,134520300,$130.065,$133.079,$129.81
903,$130.06,107961500,$132.08,$132.39,$129.04
902,$135.43,91532970,$134.29,$137.34,$132.16
901,$132.76,84784330,$133.13,$133.89,$131.48
900,$131.88,122207100,$132.87,$135.20,$131.44
897,$137.13,91566640,$140.28,$140.76,$137.06
896,$142.64,69472980,$147.08,$147.95,$142.53
895,$147.96,53950200,$148.58,$149.8697,$147.46
894,$148.71,67808150,$144.345,$149.00,$144.10
893,$146.14,71598380,$147.03,$148.5689,$144.90
890,$145.38,88570290,$146.90,$147.97,$144.46
889,$151.21,72348060,$147.83,$151.27,$146.86
888,$148.71,74286640,$149.90,$151.74,$147.68
887,$148.84,103718400,$149.07,$150.66,$146.84
883,$149.64,90978500,$145.39,$149.68,$145.26
882,$143.78,90601550,$137.39,$144.34,$137.14
881,$140.52,92482700,$138.43,$141.785,$138.34
880,$140.36,104132700,$140.805,$141.97,$137.33
879,$143.11,117726300,$137.79,$143.26,$137.65
876,$137.59,137426100,$139.09,$140.70,$132.61
875,$137.35,136095600,$139.88,$141.66,$136.60
874,$140.82,109742900,$146.85,$147.3601,$139.90
873,$149.24,78336250,$148.86,$149.77,$146.68
872,$145.54,86643780,$145.55,$147.5199,$144.18
869,$147.11,113990900,$144.59,$148.105,$143.11
868,$142.56,182602000,$142.77,$146.20,$138.80
867,$146.50,142689800,$153.50,$155.45,$145.81
866,$154.51,115366700,$155.52,$156.74,$152.93
865,$152.06,131577900,$154.925,$155.83,$151.49
862,$157.28,116124600,$156.01,$159.44,$154.18
861,$156.77,130525300,$163.85,$164.08,$154.95
860,$166.02,108256500,$159.67,$166.48,$159.26
859,$159.48,88966530,$158.15,$160.71,$156.32
858,$157.96,123055300,$156.71,$158.23,$153.27
855,$157.65,131747600,$161.84,$166.20,$157.25
854,$163.64,130216800,$159.25,$164.515,$158.93
853,$156.57,88063190,$155.91,$159.79,$155.38
852,$156.80,95623240,$162.25,$162.34,$156.72
851,$162.88,96046380,$161.12,$163.17,$158.46
848,$161.79,84882420,$166.46,$167.8699,$161.50
847,$166.42,87227770,$168.91,$171.53,$165.91
846,$167.23,67929810,$168.76,$168.88,$166.10
